241 1444
135 134 0.0187266
136 7 0.0535117
136 196 0.0333333
136 207 0.0264026
136 96 0.021875
136 49 0.0185185
136 43 0.0718954
136 111 0.0228758
136 82 0.0473186
137 112 0.0612245
137 76 0.0474576
138 134 0.00347222
138 51 0.013289
138 149 0.0105634
139 134 0.0494297
139 100 0.0171821
139 23 0.00346021
139 145 0.0498084
139 104 0.0245614
139 66 0.0103806
140 32 0.0372881
140 24 0.0692042
140 77 0.0176056
140 171 0.0472973
140 236 0.0246479
140 160 0.0392857
140 114 0.0544218
140 173 0.0172414
140 227 0.0472973
140 66 0.00983607
140 25 0.0780142
141 88 0.0576271
141 53 0.0735294
141 145 0.0777778
142 69 0.0850202
142 62 0.029304
142 44 0.0433071
142 49 0.0743494
142 25 0.0839695
143 150 0.0474576
143 157 0.0198675
143 14 0.0398551
143 105 0.024911
143 148 0.0106007
143 56 0.0210526
143 36 0.0199336
143 169 0.00694444
143 197 0.0268199
143 18 0.0166113
144 108 0.0251572
144 198 0.00952381
144 1 0.00955414
144 55 0.00326797
144 61 0.00621118
144 79 0.015873
144 36 0.0253968
144 169 0.0166113
144 233 0.0167224
144 196 0.00666667
144 128 0.00668896
144 103 0.0514469
144 45 0.00657895
144 163 0.00955414
144 24 0.0222222
144 143 0.0191083
146 59 0.0539683
146 125 0.0541516
146 225 0.0175439
146 19 0.0267559
146 86 0.0586081
146 130 0.0508475
146 55 0.0769231
147 118 0.0584192
147 230 0.0746269
147 175 0.0408922
147 194 0.0886525
147 227 0.0513699
147 99 0.0582192
148 66 0.0474453
148 166 0.0342205
149 160 0.0585938
149 231 0.0436364
149 181 0.0656934
149 76 0.0746269
149 112 0.0659341
149 151 0.0423077
149 169 0.0186567
149 211 0.0505051
149 86 0.03861
150 177 0.0262172
150 166 0.0424028
150 25 0.0443686
150 107 0.0331126
150 210 0.0318021
151 191 0.0592885
151 222 0.0833333
151 59 0.0574324
151 61 0.0103806
151 93 0.0269231
151 77 0.0305344
151 186 0.0264151
151 122 0.0505415
151 97 0.10687
151 175 0.0731707
152 225 0.0222222
152 161 0.0824373
152 88 0.019802
152 176 0.0711462
152 234 0.0401338
152 10 0.0479452
152 231 0.0409556
152 56 0.0855019
153 22 0.0267559
153 221 0.01
153 93 0.0481481
153 146 0.0165563
153 145 0.0286738
153 151 0.0359712
153 50 0.0233333
153 219 0.0282686
153 54 0.0213523
154 171 0.0369128
155 236 0.00692042
155 176 0.0380228
155 232 0.0992366
155 160 0.0430108
155 40 0.0801394
155 122 0.0915493
155 44 0.0288809
155 33 0.0302013
155 166 0.0464286
155 198 0.0338983
155 154 0.0692042
156 13 0.00660066
156 40 0.0132013
156 130 0.00655738
156 98 0.00346021
156 107 0.0132013
156 173 0.0103806
156 134 0.0140351
156 160 0.0105263
156 195 0.00328947
156 111 0.00696864
157 54 0.0139373
158 44 0.0253623
158 161 0.0342466
158 152 0.0551724
158 55 0.0503597
159 238 0.036
159 108 0.0517241
159 169 0.0106383
159 164 0.0143885
159 5 0.0273038
159 114 0.0342466
159 134 0.0289855
159 175 0.0223048
159 206 0.0289855
159 212 0.027027
159 49 0.013468
159 142 0.0217391
159 91 0.0307167
159 141 0.0271186
160 63 0.0104895
160 59 0.0398671
160 40 0.0467626
160 166 0.0703125
160 3 0.0620438
160 120 0.111111
160 225 0.0390244
160 216 0.114943
160 51 0.090566
161 235 0.0407407
161 69 0.0722433
161 201 0.0446097
162 54 0.0265152
162 180 0.0214286
162 189 0.0246479
162 148 0.0150376
163 193 0.0477941
163 195 0.016835
163 237 0.0263158
163 154 0.020202
163 19 0.00333333
163 162 0.00352113
164 156 0.00701754
164 231 0.0398551
164 222 0.0461538
164 238 0.0466102
164 55 0.0339623
164 217 0.0436364
164 166 0.05
164 184 0.0265152
164 142 0.0505837
165 11 0.00318471
165 9 0.0210526
165 60 0.0316901
165 3 0.114695
167 142 0.0391459
167 193 0.0353357
167 203 0.0425532
167 130 0.0612245
167 148 0.114943
167 129 0.0510949
168 85 0.0197368
168 151 0.019802
168 77 0.0165563
168 105 0.0131148
168 127 0.00993377
168 191 0.00993377
168 11 0.00606061
168 164 0.00983607
169 33 0.0320285
169 195 0.0104167
169 64 0.0104167
169 185 0.0267176
169 130 0.0138408
169 6 0.0430108
169 147 0.0175439
170 177 0.0223881
170 215 0.0388693
170 140 0.0331126
170 8 0.00958466
170 40 0.00321543
170 42 0.00687285
170 12 0.012987
170 44 0.0474453
170 205 0.00692042
170 55 0.0136986
170 113 0.017301
171 166 0.0654545
171 53 0.0430108
172 19 0.00348432
172 61 0.00689655
172 83 0.0177305
172 205 0.00371747
172 11 0.00340136
172 220 0.0211268
172 102 0.0105263
172 2 0.011194
172 18 0.013986
173 184 0.0184502
173 102 0.0138889
173 141 0.0136986
173 93 0.0149813
174 49 0.00970874
174 198 0.0266667
174 99 0.05
174 229 0.0369128
174 208 0.0177305
174 216 0.0756014
175 35 0.043956
175 240 0.0433071
175 62 0.0300752
175 88 0.0179211
175 76 0.056391
177 112 0.0224719
177 21 0.0163934
177 139 0.0322581
177 88 0.05
177 176 0.017316
178 24 0.0332226
178 33 0.00651466
178 217 0.00324675
178 131 0.0130719
178 31 0.0462633
178 120 0.0687285
178 161 0.00990099
178 114 0.0196078
178 162 0.0316901
179 235 0.0104895
179 196 0.00692042
179 35 0.00319489
179 229 0.00983607
179 220 0.0130293
179 150 0.0096463
179 215 0.0103093
179 183 0.0100671
179 199 0.00636943
179 88 0.012945
179 92 0.00645161
179 38 0.00348432
179 212 0.00319489
179 34 0.0103448
179 178 0.0161812
180 227 0.0664336
180 19 0.0559441
181 53 0.0464286
182 45 0.0137457
182 11 0.0226537
182 26 0.00340136
182 141 0.0330033
182 193 0.0244755
182 9 0.0138889
182 177 0.0339623
182 29 0.025974
182 124 0.0243056
182 181 0.0295082
183 119 0.0110701
183 93 0.0456274
183 213 0.0681004
183 21 0.0742188
183 107 0.0491228
183 124 0.0291971
183 191 0.0494297
183 6 0.0171233
184 116 0.0392857
184 9 0.0265152
185 240 0.0190114
185 74 0.0272109
186 197 0.0120482
186 238 0.0333333
186 171 0.0319149
186 185 0.019084
187 85 0.00740741
187 63 0.0176678
187 88 0.0430108
187 176 0.0720339
188 233 0.0346154
188 74 0.0133333
188 40 0.0176678
188 57 0.0199336
188 131 0.0141844
